   execution: local
        script: load-test/parsec_event_one_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 1 max VUs, 10m30s max duration (incl. graceful stop):
              * single_user: 1 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 1 пользователь, длительность 10 минут  source=console
INFO[0363] [99] skip=24750 | статус=200 | время=2443ms | тело=2079692 байт  source=console
INFO[0366] [100] skip=25000 | статус=200 | время=2399ms | тело=2248294 байт  source=console
INFO[0370] [101] skip=25250 | статус=200 | время=2502ms | тело=2051182 байт  source=console
INFO[0374] [102] skip=25500 | статус=200 | время=2300ms | тело=1785027 байт  source=console
INFO[0377] [103] skip=25750 | статус=200 | время=2566ms | тело=2120554 байт  source=console
INFO[0381] [104] skip=26000 | статус=200 | время=2452ms | тело=2080739 байт  source=console
INFO[0385] [105] skip=26250 | статус=200 | время=2546ms | тело=2278291 байт  source=console
INFO[0388] [106] skip=26500 | статус=200 | время=2345ms | тело=2141630 байт  source=console
INFO[0392] [107] skip=26750 | статус=200 | время=2498ms | тело=1748636 байт  source=console
INFO[0395] [108] skip=27000 | статус=200 | время=2314ms | тело=1977709 байт  source=console
INFO[0398] [109] skip=27250 | статус=200 | время=2418ms | тело=2348813 байт  source=console
INFO[0401] [110] skip=27500 | статус=200 | время=2482ms | тело=2244288 байт  source=console
INFO[0405] [111] skip=27750 | статус=200 | время=2455ms | тело=2402721 байт  source=console
INFO[0408] [112] skip=28000 | статус=200 | время=2403ms | тело=2130574 байт  source=console
INFO[0411] [113] skip=28250 | статус=200 | время=2358ms | тело=2095909 байт  source=console
INFO[0414] [114] skip=28500 | статус=200 | время=2374ms | тело=2069669 байт  source=console
INFO[0419] [115] skip=28750 | статус=200 | время=2692ms | тело=3048151 байт  source=console
INFO[0422] [116] skip=29000 | статус=200 | время=2384ms | тело=2185621 байт  source=console
INFO[0426] [117] skip=29250 | статус=200 | время=2498ms | тело=2207099 байт  source=console
INFO[0431] [118] skip=29500 | статус=200 | время=4099ms | тело=3797991 байт  source=console
INFO[0436] [119] skip=29750 | статус=200 | время=3932ms | тело=4602148 байт  source=console
INFO[0441] [120] skip=30000 | статус=200 | время=3965ms | тело=2701420 байт  source=console
INFO[0446] [121] skip=30250 | статус=200 | время=3599ms | тело=3123151 байт  source=console
INFO[0450] [122] skip=30500 | статус=200 | время=3558ms | тело=3481146 байт  source=console
INFO[0456] [123] skip=30750 | статус=200 | время=4993ms | тело=4272733 байт  source=console
INFO[0462] [124] skip=31000 | статус=200 | время=5981ms | тело=4625458 байт  source=console
INFO[0467] [125] skip=31250 | статус=200 | время=3764ms | тело=3588791 байт  source=console
INFO[0470] [126] skip=31500 | статус=200 | время=2499ms | тело=1933438 байт  source=console
INFO[0473] [127] skip=31750 | статус=200 | время=2717ms | тело=2516046 байт  source=console
INFO[0477] [128] skip=32000 | статус=200 | время=3329ms | тело=2386776 байт  source=console
INFO[0481] [129] skip=32250 | статус=200 | время=3514ms | тело=3610597 байт  source=console
INFO[0484] [130] skip=32500 | статус=200 | время=3221ms | тело=2799103 байт  source=console
INFO[0491] [131] skip=32750 | статус=200 | время=5450ms | тело=3950290 байт  source=console
INFO[0497] [132] skip=33000 | статус=200 | время=4636ms | тело=5299952 байт  source=console
INFO[0503] [133] skip=33250 | статус=200 | время=5249ms | тело=3962348 байт  source=console
INFO[0508] [134] skip=33500 | статус=200 | время=3795ms | тело=3012666 байт  source=console
INFO[0512] [135] skip=33750 | статус=200 | время=3910ms | тело=3320997 байт  source=console
INFO[0519] [136] skip=34000 | статус=200 | время=6462ms | тело=4887795 байт  source=console
INFO[0531] [137] skip=34250 | статус=200 | время=7855ms | тело=5301746 байт  source=console
INFO[0542] [138] skip=34500 | статус=200 | время=8825ms | тело=4594481 байт  source=console
INFO[0547] [139] skip=34750 | статус=200 | время=5989ms | тело=2992320 байт  source=console
INFO[0554] [140] skip=35000 | статус=200 | время=6011ms | тело=3269847 байт  source=console
INFO[0568] [141] skip=35250 | статус=200 | время=6278ms | тело=5403511 байт  source=console
INFO[0578] [142] skip=35500 | статус=200 | время=5083ms | тело=3976545 байт  source=console
INFO[0584] [143] skip=35750 | статус=200 | время=4935ms | тело=2444996 байт  source=console
INFO[0588] [144] skip=36000 | статус=200 | время=4307ms | тело=2574853 байт  source=console
INFO[0612] [145] skip=36250 | статус=200 | время=2768ms | тело=7567385 байт  source=console


  █ THRESHOLDS 

    error_rate
    ✗ 'rate<0.05' rate=100.00%

    http_req_duration
    ✗ 'p(95)<1000' p(95)=6.03s
    ✗ 'p(99)<1500' p(99)=12.08s

    http_req_failed
    ✓ 'rate<0.01' rate=0.00%

    response_time
    ✗ 'p(95)<1000' p(95)=6036.5


  █ TOTAL RESULTS 

    checks_total.......: 439    0.714676/s
    checks_succeeded...: 66.74% 293 out of 439
    checks_failed......: 33.25% 146 out of 439

    ✓ login status 200
    ✓ ✓ статус 200
    ✗ ✓ время < 2с
      ↳  0% — ✓ 0 / ✗ 146
    ✓ ✓ тело не пустое

    CUSTOM
    error_rate.....................: 100.00% 146 out of 146
    requests_total.................: 146     0.237683/s
    response_time..................: avg=3173.431507 min=2300  med=2455  max=22768  p(90)=4785.5 p(95)=6036.5

    HTTP
    http_req_duration..............: avg=3.17s       min=2.3s  med=2.45s max=22.76s p(90)=4.75s  p(95)=6.03s 
      { expected_response:true }...: avg=3.17s       min=2.3s  med=2.45s max=22.76s p(90)=4.75s  p(95)=6.03s 
    http_req_failed................: 0.00%   0 out of 147
    http_reqs......................: 147     0.239311/s

    EXECUTION
    iteration_duration.............: avg=4.17s       min=2.42s med=3.71s max=23.88s p(90)=5.32s  p(95)=7.36s 
    iterations.....................: 146     0.237683/s
    vus............................: 1       min=0          max=1
    vus_max........................: 1       min=1          max=1

    NETWORK
    data_received..................: 351 MB  571 kB/s
    data_sent......................: 77 kB   126 B/s




running (10m14.3s), 0/1 VUs, 146 complete and 0 interrupted iterations
single_user ✓ [======================================] 1 VUs  10m0s
