 execution: local
        script: load-test/parsec_event_five_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 5 max VUs, 10m30s max duration (incl. graceful stop):
              * multiple_users: 5 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 5 пользователей, длительность 10 минут  source=console
INFO[0184] [VU3][ITER31] skip=7950 | статус=200 | время=3687ms | тело=1978405 байт  source=console
INFO[0184] [VU1][ITER33] skip=8250 | статус=200 | время=4791ms | тело=1788520 байт  source=console
INFO[0186] [VU5][ITER31] skip=8150 | статус=200 | время=6412ms | тело=2048550 байт  source=console
INFO[0187] [VU4][ITER31] skip=8050 | статус=200 | время=6406ms | тело=1859304 байт  source=console
INFO[0188] [VU2][ITER30] skip=7600 | статус=200 | время=3641ms | тело=2083609 байт  source=console
INFO[0190] [VU3][ITER32] skip=8200 | статус=200 | время=4045ms | тело=1839244 байт  source=console
INFO[0190] [VU1][ITER34] skip=8500 | статус=200 | время=5425ms | тело=2229671 байт  source=console
INFO[0191] [VU2][ITER31] skip=7850 | статус=200 | время=2981ms | тело=2056738 байт  source=console
INFO[0192] [VU5][ITER32] skip=8400 | статус=200 | время=5055ms | тело=1868227 байт  source=console
INFO[0192] [VU4][ITER32] skip=8300 | статус=200 | время=4928ms | тело=1866495 байт  source=console
INFO[0195] [VU3][ITER33] skip=8450 | статус=200 | время=3825ms | тело=2018563 байт  source=console
INFO[0196] [VU5][ITER33] skip=8650 | статус=200 | время=3667ms | тело=2156097 байт  source=console
INFO[0198] [VU2][ITER32] skip=8100 | статус=200 | время=6226ms | тело=1911711 байт  source=console
INFO[0198] [VU1][ITER35] skip=8750 | статус=200 | время=6561ms | тело=2112521 байт  source=console
INFO[0199] [VU4][ITER33] skip=8550 | статус=200 | время=5348ms | тело=2168631 байт  source=console
INFO[0200] [VU5][ITER34] skip=8900 | статус=200 | время=3550ms | тело=1933375 байт  source=console
INFO[0200] [VU3][ITER34] skip=8700 | статус=200 | время=3562ms | тело=2054236 байт  source=console
INFO[0204] [VU5][ITER35] skip=9150 | статус=200 | время=3873ms | тело=2151312 байт  source=console
INFO[0205] [VU4][ITER34] skip=8800 | статус=200 | время=5700ms | тело=2147305 байт  source=console
INFO[0205] [VU3][ITER35] skip=8950 | статус=200 | время=3454ms | тело=1906845 байт  source=console
INFO[0205] [VU2][ITER33] skip=8350 | статус=200 | время=6019ms | тело=1836638 байт  source=console
INFO[0206] [VU1][ITER36] skip=9000 | статус=200 | время=5353ms | тело=1773842 байт  source=console
INFO[0208] [VU5][ITER36] skip=9400 | статус=200 | время=3096ms | тело=1909747 байт  source=console
INFO[0211] [VU2][ITER34] skip=8600 | статус=200 | время=4882ms | тело=2158738 байт  source=console
INFO[0211] [VU1][ITER37] skip=9250 | статус=200 | время=5038ms | тело=2106935 байт  source=console
INFO[0212] [VU3][ITER36] skip=9200 | статус=200 | время=4836ms | тело=2167517 байт  source=console
INFO[0212] [VU4][ITER35] skip=9050 | статус=200 | время=5029ms | тело=1800131 байт  source=console
INFO[0216] [VU5][ITER37] skip=9650 | статус=200 | время=6557ms | тело=1601908 байт  source=console
